timestamp,temp_motor,corriente,vibracion,presion,rpm
2025-01-01 00:00:00,69.6,10.01,0.0213,4.57,1519.0
2025-01-01 00:01:00,70.03,10.16,0.025,4.49,1484.0
2025-01-01 00:02:00,70.39,10.16,0.0277,4.5,1515.0
2025-01-01 00:03:00,70.08,9.86,0.0208,4.59,1500.0
2025-01-01 00:04:00,69.95,9.91,0.0272,4.43,1520.0
2025-01-01 00:05:00,70.68,9.63,0.0215,4.54,1490.0
2025-01-01 00:06:00,69.77,10.07,0.0239,4.51,1499.0
2025-01-01 00:07:00,69.92,9.82,0.0224,4.45,1483.0
2025-01-01 00:08:00,70.29,9.57,0.028,4.47,1495.0
2025-01-01 00:09:00,69.65,10.25,0.0236,4.45,1473.0
2025-01-01 00:10:00,70.28,10.15,0.0273,4.5,1483.0
2025-01-01 00:11:00,70.28,10.22,0.026,4.48,1509.0
2025-01-01 00:12:00,69.87,9.59,0.0222,4.56,1496.0
2025-01-01 00:13:00,70.15,9.75,0.0279,4.57,1477.0
2025-01-01 00:14:00,69.88,10.37,0.0245,4.51,1519.0
2025-01-01 00:15:00,69.43,10.26,0.0207,4.61,1502.0
2025-01-01 00:16:00,69.53,10.08,0.0246,4.48,1503.0
2025-01-01 00:17:00,69.96,9.81,0.0262,4.48,1487.0
2025-01-01 00:18:00,69.91,10.11,0.0235,4.5,1492.0
2025-01-01 00:19:00,70.2,9.82,0.025,4.46,1508.0
2025-01-01 00:20:00,70.14,9.82,0.0213,4.52,1496.0
2025-01-01 00:21:00,70.24,9.91,0.0307,4.48,1503.0
2025-01-01 00:22:00,70.05,10.18,0.0255,4.55,1499.0
2025-01-01 00:23:00,69.97,10.0,0.0272,4.49,1519.0
2025-01-01 00:24:00,70.27,9.93,0.0164,4.62,1485.0
2025-01-01 00:25:00,69.56,9.82,0.0223,4.52,1505.0
2025-01-01 00:26:00,70.58,9.48,0.0252,4.42,1484.0
2025-01-01 00:27:00,70.27,10.21,0.0201,4.58,1517.0
2025-01-01 00:28:00,69.94,9.8,0.0232,4.55,1496.0
2025-01-01 00:29:00,69.74,9.87,0.0211,4.42,1514.0
2025-01-01 00:30:00,69.8,9.91,0.0263,4.53,1527.0
2025-01-01 00:31:00,69.88,9.8,0.0202,4.46,1507.0
2025-01-01 00:32:00,69.73,9.78,0.0226,4.49,1478.0
2025-01-01 00:33:00,70.28,10.33,0.0222,4.44,1506.0
2025-01-01 00:34:00,69.7,10.08,0.023,4.46,1484.0
2025-01-01 00:35:00,70.01,9.88,0.0306,4.47,1499.0
2025-01-01 00:36:00,70.65,10.0,0.024,4.48,1503.0
2025-01-01 00:37:00,69.98,10.34,0.0268,4.43,1486.0
2025-01-01 00:38:00,70.17,9.91,0.0235,4.42,1486.0
2025-01-01 00:39:00,70.17,10.21,0.0254,4.43,1496.0
2025-01-01 00:40:00,69.87,9.73,0.0235,4.48,1505.0
2025-01-01 00:41:00,69.72,9.85,0.0262,4.53,1513.0
2025-01-01 00:42:00,70.15,9.81,0.0209,4.56,1470.0
2025-01-01 00:43:00,69.9,9.91,0.0264,4.46,1493.0
2025-01-01 00:44:00,70.15,9.83,0.0267,4.51,1536.0
2025-01-01 00:45:00,70.29,10.33,0.0254,4.48,1510.0
2025-01-01 00:46:00,69.98,9.63,0.0257,4.53,1518.0
2025-01-01 00:47:00,69.93,10.22,0.0249,4.52,1495.0
2025-01-01 00:48:00,69.71,10.11,0.028,4.51,1500.0
2025-01-01 00:49:00,70.16,9.9,0.0266,4.47,1477.0
2025-01-01 00:50:00,70.17,10.08,0.0232,4.57,1516.0
2025-01-01 00:51:00,69.71,10.22,0.0247,4.59,1503.0
2025-01-01 00:52:00,69.77,10.02,0.0289,4.52,1491.0
2025-01-01 00:53:00,70.09,9.8,0.0274,3.48,1207.0
2025-01-01 00:54:00,70.21,9.74,0.0292,4.62,1482.0
2025-01-01 00:55:00,69.69,9.84,0.0299,4.56,1498.0
2025-01-01 00:56:00,69.55,10.1,0.0225,4.49,1501.0
2025-01-01 00:57:00,69.73,10.29,0.0209,4.45,1502.0
2025-01-01 00:58:00,69.83,10.13,0.0267,4.55,1478.0
2025-01-01 00:59:00,69.83,9.87,0.0264,4.51,1495.0
2025-01-01 01:00:00,85.15,13.1,0.2273,4.52,1506.0
2025-01-01 01:01:00,69.4,10.13,0.0218,4.55,1530.0
2025-01-01 01:02:00,69.65,10.17,0.0282,4.52,1507.0
2025-01-01 01:03:00,69.89,9.7,0.0298,4.58,1496.0
2025-01-01 01:04:00,70.57,9.77,0.0208,4.56,1491.0
2025-01-01 01:05:00,69.7,10.37,0.0238,4.55,1512.0
2025-01-01 01:06:00,69.77,9.71,0.0267,4.54,1505.0
2025-01-01 01:07:00,69.6,9.98,0.0216,4.43,1504.0
2025-01-01 01:08:00,69.91,9.89,0.0175,4.59,1501.0
2025-01-01 01:09:00,69.84,10.32,0.0237,4.44,1498.0
2025-01-01 01:10:00,70.02,10.03,0.0261,4.5,1495.0
2025-01-01 01:11:00,70.27,10.03,0.0251,4.47,1505.0
2025-01-01 01:12:00,69.82,9.8,0.0251,4.53,1506.0
2025-01-01 01:13:00,70.21,9.88,0.0228,4.54,1493.0
2025-01-01 01:14:00,69.75,10.08,0.0224,4.54,1496.0
2025-01-01 01:15:00,69.91,10.21,0.027,4.48,1488.0
2025-01-01 01:16:00,70.13,10.21,0.035,4.53,1511.0
2025-01-01 01:17:00,69.59,10.43,0.0281,4.49,1491.0
2025-01-01 01:18:00,69.73,10.14,0.0237,4.5,1505.0
2025-01-01 01:19:00,69.84,10.37,0.0222,4.47,1493.0
2025-01-01 01:20:00,70.04,10.08,0.0247,4.47,1489.0
2025-01-01 01:21:00,70.14,9.88,0.0232,4.52,1502.0
2025-01-01 01:22:00,69.97,10.14,0.0304,4.51,1491.0
2025-01-01 01:23:00,69.65,10.11,0.0236,4.47,1535.0
2025-01-01 01:24:00,69.84,9.85,0.0208,4.5,1510.0
2025-01-01 01:25:00,70.21,9.89,0.0213,4.55,1498.0
2025-01-01 01:26:00,69.63,9.67,0.0217,4.48,1497.0
2025-01-01 01:27:00,70.0,10.14,0.0267,4.56,1495.0
2025-01-01 01:28:00,69.98,10.03,0.0294,4.54,1510.0
2025-01-01 01:29:00,69.84,9.95,0.0279,4.48,1509.0
2025-01-01 01:30:00,69.72,10.12,0.0246,4.5,1495.0
2025-01-01 01:31:00,69.85,9.68,0.0271,4.48,1507.0
2025-01-01 01:32:00,70.01,9.76,0.0244,4.53,1492.0
2025-01-01 01:33:00,69.71,9.98,0.0239,4.5,1524.0
2025-01-01 01:34:00,70.18,9.98,0.0244,4.48,1511.0
2025-01-01 01:35:00,70.03,10.11,0.0259,4.5,1497.0
2025-01-01 01:36:00,69.66,9.89,0.0192,4.48,1490.0
2025-01-01 01:37:00,69.51,9.86,0.0227,4.53,1493.0
2025-01-01 01:38:00,69.77,9.68,0.0234,4.55,1534.0
2025-01-01 01:39:00,70.09,10.13,0.0257,4.53,1505.0
2025-01-01 01:40:00,70.23,10.04,0.0276,4.46,1470.0
2025-01-01 01:41:00,69.81,9.85,0.026,4.51,1497.0
2025-01-01 01:42:00,69.79,10.04,0.0267,4.58,1504.0
2025-01-01 01:43:00,70.04,9.98,0.0263,4.47,1526.0
2025-01-01 01:44:00,69.87,9.91,0.0259,4.47,1519.0
2025-01-01 01:45:00,70.57,10.25,0.0217,4.49,1493.0
2025-01-01 01:46:00,69.57,9.84,0.0265,4.47,1516.0
2025-01-01 01:47:00,69.98,9.54,0.0249,4.51,1479.0
2025-01-01 01:48:00,69.57,9.88,0.0248,4.44,1493.0
2025-01-01 01:49:00,70.1,10.42,0.0257,4.47,1488.0
2025-01-01 01:50:00,70.11,10.08,0.0242,4.37,1505.0
2025-01-01 01:51:00,70.04,10.24,0.0244,4.48,1496.0
2025-01-01 01:52:00,70.08,10.14,0.0288,4.44,1486.0
2025-01-01 01:53:00,69.42,9.82,0.0237,4.44,1495.0
2025-01-01 01:54:00,69.63,9.61,0.026,4.51,1513.0
2025-01-01 01:55:00,69.52,9.94,0.0222,4.38,1494.0
2025-01-01 01:56:00,70.0,9.66,0.0324,4.49,1486.0
2025-01-01 01:57:00,70.11,9.93,0.026,4.56,1511.0
2025-01-01 01:58:00,70.04,10.09,0.0232,4.51,1494.0
2025-01-01 01:59:00,70.72,10.15,0.0202,4.55,1509.0
2025-01-01 02:00:00,70.21,9.93,0.0222,4.61,1477.0
2025-01-01 02:01:00,70.02,10.23,0.0271,4.56,1510.0
2025-01-01 02:02:00,70.01,10.23,0.0228,4.52,1489.0
2025-01-01 02:03:00,70.03,9.86,0.0265,4.39,1505.0
2025-01-01 02:04:00,69.64,10.31,0.0303,4.59,1468.0
2025-01-01 02:05:00,69.69,9.87,0.0208,4.58,1474.0
2025-01-01 02:06:00,70.19,9.82,0.028,4.47,1500.0
2025-01-01 02:07:00,70.39,10.12,0.0261,4.51,1502.0
2025-01-01 02:08:00,70.01,10.08,0.023,4.54,1499.0
2025-01-01 02:09:00,69.69,9.81,0.0248,4.46,1496.0
2025-01-01 02:10:00,69.64,9.99,0.0324,4.54,1513.0
2025-01-01 02:11:00,69.87,10.22,0.023,4.52,1491.0
2025-01-01 02:12:00,70.05,10.08,0.0257,4.42,1508.0
2025-01-01 02:13:00,69.84,10.25,0.0261,4.48,1525.0
2025-01-01 02:14:00,69.89,9.68,0.0268,4.52,1504.0
2025-01-01 02:15:00,70.16,10.19,0.0213,4.54,1516.0
2025-01-01 02:16:00,69.76,9.95,0.02,4.53,1521.0
2025-01-01 02:17:00,69.99,9.77,0.0238,4.49,1494.0
2025-01-01 02:18:00,69.76,9.96,0.0258,4.49,1505.0
2025-01-01 02:19:00,70.22,9.99,0.0232,4.5,1506.0
2025-01-01 02:20:00,70.13,9.75,0.0216,3.46,1200.0
2025-01-01 02:21:00,69.64,10.03,0.0205,4.6,1512.0
2025-01-01 02:22:00,70.49,9.8,0.0255,4.46,1494.0
2025-01-01 02:23:00,70.62,9.91,0.0187,4.48,1495.0
2025-01-01 02:24:00,69.88,10.22,0.0216,4.47,1501.0
2025-01-01 02:25:00,69.76,10.33,0.0239,4.49,1487.0
2025-01-01 02:26:00,70.32,9.65,0.0239,4.44,1501.0
2025-01-01 02:27:00,70.0,9.98,0.0245,4.52,1504.0
2025-01-01 02:28:00,70.15,10.2,0.0263,4.44,1513.0
2025-01-01 02:29:00,70.2,9.77,0.0255,4.51,1476.0
2025-01-01 02:30:00,69.69,9.98,0.0288,4.47,1472.0
2025-01-01 02:31:00,70.19,9.74,0.024,4.53,1493.0
2025-01-01 02:32:00,70.16,10.31,0.0322,4.39,1506.0
2025-01-01 02:33:00,69.97,10.1,0.0283,4.47,1514.0
2025-01-01 02:34:00,70.25,9.62,0.024,4.56,1503.0
2025-01-01 02:35:00,70.19,9.98,0.022,4.55,1511.0
2025-01-01 02:36:00,69.62,9.67,0.0269,4.57,1515.0
2025-01-01 02:37:00,69.63,9.75,0.0222,4.51,1504.0
2025-01-01 02:38:00,69.45,10.13,0.0243,4.49,1487.0
2025-01-01 02:39:00,69.74,9.89,0.0245,4.5,1503.0
2025-01-01 02:40:00,69.95,9.92,0.0231,4.44,1503.0
2025-01-01 02:41:00,69.8,9.9,0.0244,4.5,1492.0
2025-01-01 02:42:00,69.63,10.07,0.0246,4.56,1509.0
2025-01-01 02:43:00,70.51,10.33,0.0222,4.5,1484.0
2025-01-01 02:44:00,70.04,9.73,0.0273,4.48,1499.0
2025-01-01 02:45:00,70.33,9.82,0.0257,4.54,1508.0
2025-01-01 02:46:00,70.07,9.93,0.0245,4.53,1497.0
2025-01-01 02:47:00,69.89,9.95,0.0205,4.56,1473.0
2025-01-01 02:48:00,70.01,10.18,0.0229,4.51,1483.0
2025-01-01 02:49:00,69.65,10.1,0.0227,4.45,1499.0
2025-01-01 02:50:00,70.04,9.69,0.0239,4.48,1492.0
2025-01-01 02:51:00,70.11,10.21,0.0227,4.43,1494.0
2025-01-01 02:52:00,69.92,9.88,0.0257,4.54,1498.0
2025-01-01 02:53:00,69.86,9.77,0.0254,4.49,1492.0
2025-01-01 02:54:00,69.89,9.76,0.0203,4.58,1512.0
2025-01-01 02:55:00,70.27,9.73,0.0308,4.48,1510.0
2025-01-01 02:56:00,70.16,10.4,0.0252,4.48,1503.0
2025-01-01 02:57:00,70.22,9.91,0.0246,4.45,1509.0
2025-01-01 02:58:00,70.02,9.82,0.0274,4.52,1528.0
2025-01-01 02:59:00,69.74,10.2,0.0257,4.5,1485.0
2025-01-01 03:00:00,69.88,10.24,0.0222,4.51,1494.0
2025-01-01 03:01:00,70.44,9.73,0.0247,4.54,1512.0
2025-01-01 03:02:00,69.85,9.79,0.0222,4.5,1501.0
2025-01-01 03:03:00,69.72,10.05,0.0246,4.43,1524.0
2025-01-01 03:04:00,70.1,9.96,0.0228,4.44,1496.0
2025-01-01 03:05:00,70.07,10.03,0.0274,4.49,1480.0
2025-01-01 03:06:00,70.05,10.12,0.03,4.45,1510.0
2025-01-01 03:07:00,70.14,9.7,0.0273,4.5,1498.0
2025-01-01 03:08:00,69.97,9.77,0.033,4.4,1511.0
2025-01-01 03:09:00,70.48,10.06,0.0241,4.52,1509.0
2025-01-01 03:10:00,69.9,10.41,0.0313,4.44,1504.0
2025-01-01 03:11:00,70.15,10.05,0.0286,4.53,1505.0
2025-01-01 03:12:00,70.03,9.95,0.0239,4.61,1520.0
2025-01-01 03:13:00,69.69,10.2,0.0268,4.55,1486.0
2025-01-01 03:14:00,70.41,9.9,0.0265,4.59,1486.0
2025-01-01 03:15:00,70.02,10.01,0.0273,4.46,1512.0
2025-01-01 03:16:00,69.82,10.05,0.028,4.54,1496.0
2025-01-01 03:17:00,69.54,10.13,0.0316,4.51,1481.0
2025-01-01 03:18:00,69.88,9.64,0.0252,4.5,1479.0
2025-01-01 03:19:00,69.95,10.25,0.0228,4.5,1507.0
2025-01-01 03:20:00,70.25,9.87,0.0244,4.47,1508.0
2025-01-01 03:21:00,70.6,10.01,0.0222,4.49,1495.0
2025-01-01 03:22:00,69.73,10.21,0.0311,4.55,1473.0
2025-01-01 03:23:00,69.46,10.1,0.021,4.48,1498.0
2025-01-01 03:24:00,69.29,10.19,0.0241,4.48,1527.0
2025-01-01 03:25:00,70.21,10.03,0.0245,4.55,1475.0
2025-01-01 03:26:00,70.22,10.06,0.03,4.53,1497.0
2025-01-01 03:27:00,70.06,9.63,0.0226,4.43,1480.0
2025-01-01 03:28:00,69.52,9.87,0.0293,4.47,1487.0
2025-01-01 03:29:00,70.05,9.82,0.0259,4.48,1498.0
2025-01-01 03:30:00,70.23,9.95,0.0233,4.55,1506.0
2025-01-01 03:31:00,70.39,9.8,0.0264,4.52,1505.0
2025-01-01 03:32:00,69.89,10.1,0.0235,4.57,1481.0
2025-01-01 03:33:00,70.09,9.99,0.0253,4.47,1502.0
2025-01-01 03:34:00,70.34,9.91,0.0245,4.51,1489.0
2025-01-01 03:35:00,70.16,10.06,0.021,4.55,1507.0
2025-01-01 03:36:00,69.73,10.17,0.0228,4.54,1525.0
2025-01-01 03:37:00,70.43,10.35,0.0232,4.57,1482.0
2025-01-01 03:38:00,70.05,10.16,0.0188,4.49,1495.0
2025-01-01 03:39:00,70.19,10.08,0.0259,4.47,1487.0
2025-01-01 03:40:00,69.49,10.07,0.0282,4.54,1489.0
2025-01-01 03:41:00,69.69,10.01,0.0291,4.51,1532.0
2025-01-01 03:42:00,69.97,10.17,0.0197,4.53,1499.0
2025-01-01 03:43:00,70.05,10.17,0.024,4.53,1517.0
2025-01-01 03:44:00,70.65,9.66,0.0281,4.5,1500.0
2025-01-01 03:45:00,69.96,10.45,0.0249,4.52,1478.0
2025-01-01 03:46:00,69.79,9.81,0.0256,4.55,1474.0
2025-01-01 03:47:00,69.96,9.85,0.0235,4.53,1484.0
2025-01-01 03:48:00,84.6,13.46,0.2244,4.53,1490.0
2025-01-01 03:49:00,69.76,9.6,0.0276,4.56,1517.0
2025-01-01 03:50:00,69.82,9.73,0.022,4.54,1501.0
2025-01-01 03:51:00,70.58,9.72,0.0294,4.43,1501.0
2025-01-01 03:52:00,69.83,10.26,0.0258,4.55,1479.0
2025-01-01 03:53:00,69.82,10.17,0.0262,4.48,1483.0
2025-01-01 03:54:00,70.1,9.61,0.0288,4.43,1502.0
2025-01-01 03:55:00,70.18,9.77,0.0248,4.57,1473.0
2025-01-01 03:56:00,69.8,10.08,0.0278,4.57,1512.0
2025-01-01 03:57:00,70.06,10.42,0.0287,4.54,1507.0
2025-01-01 03:58:00,70.04,10.43,0.0292,4.52,1512.0
2025-01-01 03:59:00,70.0,10.27,0.0244,4.4,1494.0
2025-01-01 04:00:00,69.91,9.99,0.0265,4.37,1497.0
2025-01-01 04:01:00,70.27,9.68,0.0269,4.45,1509.0
2025-01-01 04:02:00,69.8,10.02,0.0277,4.5,1488.0
2025-01-01 04:03:00,70.16,9.92,0.0249,4.44,1524.0
2025-01-01 04:04:00,69.44,9.83,0.0206,4.5,1499.0
2025-01-01 04:05:00,70.15,9.9,0.0271,4.56,1511.0
2025-01-01 04:06:00,69.15,10.13,0.0241,4.57,1495.0
2025-01-01 04:07:00,69.92,10.04,0.0267,4.47,1486.0
2025-01-01 04:08:00,70.11,9.98,0.026,4.53,1509.0
2025-01-01 04:09:00,70.49,10.05,0.0282,4.48,1512.0
2025-01-01 04:10:00,69.66,10.27,0.0229,4.52,1503.0
2025-01-01 04:11:00,69.78,9.92,0.0234,4.49,1499.0
2025-01-01 04:12:00,70.36,9.85,0.0254,4.43,1501.0
2025-01-01 04:13:00,70.16,9.9,0.0258,4.51,1479.0
2025-01-01 04:14:00,69.82,9.76,0.0224,4.41,1510.0
2025-01-01 04:15:00,69.94,9.99,0.0291,4.56,1492.0
2025-01-01 04:16:00,69.2,9.81,0.0252,4.53,1517.0
2025-01-01 04:17:00,70.39,10.09,0.0232,4.45,1508.0
2025-01-01 04:18:00,70.22,9.76,0.0227,4.53,1491.0
2025-01-01 04:19:00,70.06,10.06,0.0229,4.58,1489.0
2025-01-01 04:20:00,70.31,10.01,0.026,4.47,1510.0
2025-01-01 04:21:00,70.11,9.46,0.0273,4.43,1519.0
2025-01-01 04:22:00,69.31,10.19,0.0286,4.5,1496.0
2025-01-01 04:23:00,70.21,9.76,0.028,4.52,1522.0
2025-01-01 04:24:00,70.45,9.8,0.0278,4.49,1507.0
2025-01-01 04:25:00,69.99,10.26,0.0234,4.45,1477.0
2025-01-01 04:26:00,69.9,10.15,0.0234,4.46,1509.0
2025-01-01 04:27:00,69.39,10.09,0.0224,4.48,1492.0
2025-01-01 04:28:00,70.43,10.21,0.0307,4.57,1466.0
2025-01-01 04:29:00,69.83,10.04,0.0254,4.47,1497.0
2025-01-01 04:30:00,70.21,9.84,0.0237,4.45,1510.0
2025-01-01 04:31:00,69.96,9.68,0.025,4.52,1488.0
2025-01-01 04:32:00,70.15,9.76,0.0256,4.52,1535.0
2025-01-01 04:33:00,70.05,9.72,0.0257,4.55,1495.0
2025-01-01 04:34:00,70.07,10.07,0.0179,4.41,1503.0
2025-01-01 04:35:00,70.19,9.95,0.0261,4.48,1487.0
2025-01-01 04:36:00,69.43,9.5,0.0261,4.51,1510.0
2025-01-01 04:37:00,70.07,9.81,0.0268,4.53,1514.0
2025-01-01 04:38:00,69.76,10.07,0.0249,4.53,1484.0
2025-01-01 04:39:00,69.84,10.17,0.0245,4.52,1527.0
2025-01-01 04:40:00,69.56,10.41,0.0267,4.48,1495.0
2025-01-01 04:41:00,69.9,9.94,0.0272,4.47,1488.0
2025-01-01 04:42:00,69.94,9.69,0.0204,4.55,1477.0
2025-01-01 04:43:00,70.08,9.8,0.0232,4.43,1495.0
2025-01-01 04:44:00,69.92,10.2,0.0229,4.49,1508.0
2025-01-01 04:45:00,69.98,10.23,0.0276,4.58,1496.0
2025-01-01 04:46:00,70.42,9.99,0.0203,4.51,1500.0
2025-01-01 04:47:00,69.76,9.79,0.0293,4.52,1520.0
2025-01-01 04:48:00,69.57,10.16,0.0223,4.54,1496.0
2025-01-01 04:49:00,70.17,10.01,0.0219,4.5,1472.0
2025-01-01 04:50:00,69.63,10.17,0.0255,4.43,1469.0
2025-01-01 04:51:00,69.68,10.0,0.024,4.46,1486.0
2025-01-01 04:52:00,70.05,9.75,0.0278,4.53,1491.0
2025-01-01 04:53:00,69.96,10.01,0.0266,4.57,1506.0
2025-01-01 04:54:00,70.33,10.29,0.0291,4.5,1510.0
2025-01-01 04:55:00,69.53,9.78,0.0271,4.51,1506.0
2025-01-01 04:56:00,69.81,9.72,0.0281,4.48,1502.0
2025-01-01 04:57:00,69.7,10.2,0.0275,4.41,1523.0
2025-01-01 04:58:00,69.74,9.84,0.0237,4.5,1500.0
2025-01-01 04:59:00,69.73,10.06,0.0316,4.48,1495.0
2025-01-01 05:00:00,70.15,9.91,0.02,4.52,1486.0
2025-01-01 05:01:00,69.98,10.3,0.0224,4.49,1492.0
2025-01-01 05:02:00,69.96,9.93,0.0263,4.45,1512.0
2025-01-01 05:03:00,70.43,9.97,0.0311,4.39,1484.0
2025-01-01 05:04:00,69.57,10.16,0.024,4.42,1487.0
2025-01-01 05:05:00,69.71,9.93,0.0329,4.45,1503.0
2025-01-01 05:06:00,70.34,9.91,0.0226,4.6,1512.0
2025-01-01 05:07:00,69.86,9.98,0.028,4.42,1484.0
2025-01-01 05:08:00,70.11,9.96,0.0224,4.52,1494.0
2025-01-01 05:09:00,69.98,9.83,0.0269,4.48,1484.0
2025-01-01 05:10:00,69.84,9.77,0.0243,4.54,1494.0
2025-01-01 05:11:00,69.95,9.92,0.0234,4.54,1490.0
2025-01-01 05:12:00,69.58,9.91,0.0239,4.57,1478.0
2025-01-01 05:13:00,69.69,10.02,0.0226,4.53,1484.0
